Date,Open,High,Low,Close,Adj Close,Volume
2024-04-02,2004.699951,2031.949951,1971.900024,1995.550049,1995.550049,1076768
2024-04-03,1996.000000,2245.000000,1991.199951,2236.699951,2236.699951,9644667
2024-04-04,2240.000000,2256.600098,2158.100098,2195.250000,2195.250000,2421944
2024-04-05,2185.000000,2255.000000,2172.699951,2200.550049,2200.550049,2630772
2024-04-08,2211.600098,2289.949951,2174.000000,2252.899902,2252.899902,3340571
2024-04-09,2257.000000,2284.949951,2201.050049,2224.250000,2224.250000,1261087
2024-04-10,2230.000000,2247.699951,2196.699951,2206.750000,2206.750000,647294
2024-04-12,2198.750000,2253.550049,2195.000000,2214.449951,2214.449951,834505
2024-04-15,2170.000000,2192.949951,2095.350098,2146.600098,2146.600098,1231272
2024-04-16,2103.600098,2246.399902,2100.199951,2213.000000,2213.000000,1968028
2024-04-18,2226.000000,2244.699951,2150.050049,2158.600098,2158.600098,761564
2024-04-19,2111.000000,2217.949951,2106.100098,2189.100098,2189.100098,1434327
2024-04-22,2203.399902,2239.949951,2156.300049,2172.100098,2172.100098,1150751
2024-04-23,2170.000000,2310.000000,2156.300049,2258.649902,2258.649902,4413391
2024-04-24,2280.000000,2347.000000,2266.050049,2309.600098,2309.600098,3268348
2024-04-25,2309.000000,2470.000000,2284.000000,2455.850098,2455.850098,6825731
2024-04-26,2466.000000,2524.800049,2400.050049,2408.550049,2408.550049,2789064
2024-04-29,2424.500000,2441.199951,2336.000000,2376.899902,2376.899902,1200735
2024-04-30,2385.149902,2424.850098,2340.500000,2348.949951,2348.949951,854030
2024-05-02,2350.000000,2389.000000,2312.449951,2351.649902,2351.649902,1215494
2024-05-03,2386.000000,2430.000000,2321.000000,2364.699951,2364.699951,1983210
2024-05-06,2377.000000,2377.000000,2250.000000,2256.050049,2256.050049,1209495
2024-05-07,2262.000000,2318.149902,2155.000000,2163.649902,2163.649902,1630411
2024-05-08,2170.000000,2279.850098,2146.399902,2261.600098,2261.600098,1483651
2024-05-09,2261.600098,2302.000000,2199.899902,2212.199951,2212.199951,925567
2024-05-10,2218.000000,2238.449951,2176.350098,2196.949951,2196.949951,815420
2024-05-13,2200.000000,2202.199951,2090.000000,2132.600098,2132.600098,1086096
2024-05-14,2144.000000,2363.000000,2143.699951,2333.600098,2333.600098,3255821
2024-05-15,2349.100098,2412.000000,2305.000000,2392.100098,2392.100098,2543773
2024-05-16,2410.050049,2475.000000,2372.050049,2439.800049,2439.800049,2393751
2024-05-17,2448.000000,2794.000000,2433.000000,2756.649902,2756.649902,10525171
2024-05-21,2873.800049,2977.800049,2761.149902,2912.100098,2912.100098,5404977
2024-05-22,2916.750000,2955.800049,2842.500000,2878.500000,2878.500000,2383538
2024-05-23,2918.000000,3208.000000,2916.000000,3125.750000,3125.750000,8475464
2024-05-24,3120.000000,3248.949951,3067.699951,3177.050049,3177.050049,5303138
2024-05-27,3225.000000,3382.899902,3101.050049,3134.649902,3134.649902,4698762
2024-05-28,3155.000000,3170.699951,3005.800049,3036.850098,3036.850098,2367178
2024-05-29,3014.899902,3403.949951,2975.000000,3357.350098,3357.350098,9455928
2024-05-30,3370.000000,3478.000000,3260.399902,3295.100098,3295.100098,6099790
2024-05-31,3308.000000,3333.899902,3142.000000,3184.050049,3184.050049,3812467
2024-06-03,3439.699951,3439.699951,3230.000000,3257.600098,3257.600098,2596648
2024-06-04,3215.000000,3215.000000,2606.100098,2679.500000,2679.500000,5276862
2024-06-05,2694.949951,2945.000000,2400.000000,2798.199951,2798.199951,6158033
2024-06-06,2838.100098,3214.000000,2838.100098,3160.649902,3160.649902,7554445
2024-06-07,3186.000000,3211.800049,3089.899902,3153.149902,3153.149902,2899854
2024-06-10,3160.050049,3184.000000,3106.500000,3124.000000,3124.000000,1372527
2024-06-11,3138.300049,3294.000000,3138.000000,3199.850098,3199.850098,2970451
2024-06-12,3199.800049,3242.000000,3170.000000,3199.750000,3199.750000,1401445
2024-06-13,3220.000000,3410.000000,3209.000000,3389.899902,3389.899902,4287321
2024-06-14,3396.399902,3990.000000,3355.000000,3877.550049,3877.550049,13989472
2024-06-18,3903.699951,4219.000000,3861.050049,4178.250000,4178.250000,10628776
2024-06-19,4194.950195,4245.000000,3950.000000,3969.449951,3969.449951,5638962
2024-06-20,3971.149902,4085.000000,3880.050049,3982.399902,3982.399902,3861246
2024-06-21,3985.000000,4015.000000,3840.000000,3894.199951,3894.199951,2396484
2024-06-24,3917.399902,4074.000000,3911.800049,3965.250000,3965.250000,3327690
2024-06-25,4004.000000,4109.750000,3950.000000,3974.050049,3974.050049,4536768
2024-06-26,4133.000000,4271.200195,4060.000000,4081.000000,4081.000000,6737194
2024-06-27,4090.800049,4584.000000,4025.000000,4416.350098,4416.350098,12616414
2024-06-28,4440.000000,4529.000000,4250.000000,4281.450195,4281.450195,5762664
